Frame,Timestamp_seconds,Condition,Confidence,X1,Y1,X2,Y2
99,9.9,Normal,0.806,497,84,609,159
99,9.9,Normal,0.761,495,310,611,386
99,9.9,Normal,0.654,687,312,796,386
99,9.9,Inverted,0.35,685,544,794,620
99,9.9,Displaced,0.298,684,311,796,389
100,10.0,Normal,0.845,480,360,597,435
100,10.0,Normal,0.79,479,598,595,672
100,10.0,Normal,0.699,673,360,785,435
100,10.0,Inverted,0.697,483,129,598,206
100,10.0,Normal,0.679,675,129,785,203
100,10.0,Normal,0.482,675,599,785,670
